marker	drug	rho	p.value
ABL1.CP	A_443654_AKT1_2_3	-0.000962658	0.986797042
ABL1.CP	A_770041_Src_family	-0.146589881	0.011152531
ABL1.CP	ABT_263_Bcl_2_Bcl_xL_and_Bcl_w	0.07053338	0.084561661
ABL1.CP	ABT_888_PARP1_2	-0.040956942	0.31695938
ABL1.CP	AG_014699_PARP1_2_	0.01322055	0.748207343
ABL1.CP	AICAR_AMPK_agonist	-0.000109355	0.997868996
ABL1.CP	AKT_inhibitor_VIII_AKT1_2	-0.034037537	0.408430819
ABL1.CP	AMG_706_VEGFR_RET_c_KIT_PDGFR	-0.095023878	0.020014964
ABL1.CP	AP_24534_Bcr_Abl	0.015320413	0.70989604
ABL1.CP	AS601245_not_given	-0.059987175	0.146963326
ABL1.CP	ATRA_Ligand_for_retinoic_acid_and_retinoid_X_receptors	-0.023804415	0.560926404
ABL1.CP	AUY922_HSP90	0.015471385	0.708593843
ABL1.CP	Axitinib_PDGFR_KIT_VEGFR	0.045966999	0.261326205
ABL1.CP	AZ628_BRAF	0.028799416	0.620481324
ABL1.CP	AZD_0530_Src_Abl	-0.122225479	0.033736199
ABL1.CP	AZD_2281_PARP1_2	0.115117789	0.004788226
ABL1.CP	AZD6244_MEK_1_2	-0.071453396	0.087199947
ABL1.CP	AZD6482_PI3K_beta	0.000884111	0.98306387
ABL1.CP	AZD6482_PI3Kb	0.062803152	0.126924214
ABL1.CP	AZD7762_Chk_1_2	0.134712505	0.000949057
ABL1.CP	AZD8055_mTORC1_2	0.057079091	0.165444845
ABL1.CP	BAY_61_3606_spleen_tyrosine_kinase	0.195693016	1.81E-06
ABL1.CP	Bexarotene_Retinioic_acid_X_family_agonist	-0.054310933	0.18921988
ABL1.CP	BI_2536_PLK1_2_3	-0.05224128	0.368031263
ABL1.CP	BIBW2992_EGFR_HER2	-0.117456574	0.003993767
ABL1.CP	Bicalutamide_Androgen_receptor	-0.130090337	0.001600312
ABL1.CP	BIRB_0796_p38_JNK2	-0.128742576	0.001591421
ABL1.CP	Bleomycin_not_given	0.035585035	0.389868686
ABL1.CP	BMS_509744_IL2_inducible_T_cell_kinase_ITK	0.027151305	0.640063776
ABL1.CP	BMS_536924_IGF_1R	-0.096203169	0.096835283
ABL1.CP	BMS_708163_gamma_secretase_complex	-0.045325922	0.270463476
ABL1.CP	BMS_754807_IGF1R	0.021620281	0.601450926
ABL1.CP	Bortezomib_Proteasome	-0.106405805	0.067065674
ABL1.CP	Bosutinib_SRC_ABL_TEC	-0.016361848	0.689423203
ABL1.CP	Bryostatin_1_PRKC	-0.121874475	0.003126775
ABL1.CP	BX_795_TBK1_PDK1_IKK_AURKB_C	0.050070175	0.221860404
ABL1.CP	Camptothecin_DNA_topoisomerase_I	0.130227151	0.001402209
ABL1.CP	CCT007093_PPM1D	0.065660858	0.110199592
ABL1.CP	CCT018159_HSP90	0.012297373	0.766807081
ABL1.CP	CEP_701_FLT3_JAK2_NTRK1_RET	0.13318133	0.001085783
ABL1.CP	CGP_082996_CDK4	0.012158707	0.834434631
ABL1.CP	CGP_60474_CDK_1_2_5_7_9	0.038849184	0.504085962
ABL1.CP	CHIR_99021_GSK3B	-0.056033131	0.173345227
ABL1.CP	CI_1040_MEK_1_2	-0.11722864	0.004191484
ABL1.CP	Cisplatin_DNA_crosslinking	0.011408419	0.78052041
ABL1.CP	CMK_Rsk	0.045623372	0.432641104
ABL1.CP	Cyclopamine_SMO	0.077346238	0.185233979
ABL1.CP	Cytarabine_Inhibits_DNA_synthesis	0.050050729	0.221264224
ABL1.CP	Dasatinib_ABL_SRC_BMX_pan_Y_KIT_PDGFR	-0.190148794	0.000970889
ABL1.CP	DMOG_Prolyl_4_Hydroxylase	0.09949733	0.015445129
ABL1.CP	Docetaxel_Microtubules	-0.091122776	0.02573648
ABL1.CP	Doxorubicin_DNA	0.089658762	0.029995731
ABL1.CP	EHT_1864_Rac_GTPases	0.041606264	0.311787232
ABL1.CP	Elesclomol_Hsp70	-0.04205789	0.304114743
ABL1.CP	Embelin_XIAP	0.001232174	0.97625519
ABL1.CP	Epothilone_B_Microtubules	-0.025813068	0.532865403
ABL1.CP	Erlotinib_EGFR	-0.243834057	4.23E-05
ABL1.CP	Etoposide_not_given	0.091810518	0.025493296
ABL1.CP	FH535_not_given	-0.133963268	0.00115143
ABL1.CP	FTI_277_Farnesyl_transferase	-0.075002632	0.068211807
ABL1.CP	GDC_0449_SMO	0.07400018	0.070324553
ABL1.CP	GDC0941_PI3K_class_1	0.058757103	0.154038702
ABL1.CP	Gefitinib_EGFR	-0.174281113	1.79E-05
ABL1.CP	Gemcitabine_not_given	0.07454189	0.071368682
