marker	drug	rho	p.value
aero_digestive_tract	A_443654_AKT1_2_3	-0.138965759	0.016372807
aero_digestive_tract	A_770041_Src_family	-0.141871731	0.014074833
aero_digestive_tract	ABT_263_Bcl_2_Bcl_xL_and_Bcl_w	0.067510292	0.098797527
aero_digestive_tract	ABT_888_PARP1_2	-0.052328825	0.200924611
aero_digestive_tract	AG_014699_PARP1_2_	-0.014621255	0.722576427
aero_digestive_tract	AICAR_AMPK_agonist	-0.160502203	7.96E-05
aero_digestive_tract	AKT_inhibitor_VIII_AKT1_2	-0.104006864	0.011337578
aero_digestive_tract	AMG_706_VEGFR_RET_c_KIT_PDGFR	0.042301463	0.301320259
aero_digestive_tract	AP_24534_Bcr_Abl	0.03534726	0.390623866
aero_digestive_tract	AS601245_not_given	-0.039963927	0.334172082
aero_digestive_tract	ATRA_Ligand_for_retinoic_acid_and_retinoid_X_receptors	-0.069204316	0.090601987
aero_digestive_tract	AUY922_HSP90	-0.128964052	0.00175823
aero_digestive_tract	Axitinib_PDGFR_KIT_VEGFR	0.035342311	0.387891453
aero_digestive_tract	AZ628_BRAF	-0.011429976	0.844227333
aero_digestive_tract	AZD_0530_Src_Abl	-0.222472783	9.65E-05
aero_digestive_tract	AZD_2281_PARP1_2	0.044668241	0.275055973
aero_digestive_tract	AZD6244_MEK_1_2	-0.068475528	0.101233067
aero_digestive_tract	AZD6482_PI3K_beta	0.004807905	0.908095987
aero_digestive_tract	AZD6482_PI3Kb	-0.031880365	0.438788803
aero_digestive_tract	AZD7762_Chk_1_2	0.053550078	0.190598141
aero_digestive_tract	AZD8055_mTORC1_2	0.055965286	0.173867227
aero_digestive_tract	BAY_61_3606_spleen_tyrosine_kinase	0.006545816	0.874361631
aero_digestive_tract	Bexarotene_Retinioic_acid_X_family_agonist	-0.060405246	0.144161548
aero_digestive_tract	BI_2536_PLK1_2_3	-0.179233582	0.001861452
aero_digestive_tract	BIBW2992_EGFR_HER2	-0.279370794	3.35E-12
aero_digestive_tract	Bicalutamide_Androgen_receptor	-0.057113198	0.167359137
aero_digestive_tract	BIRB_0796_p38_JNK2	-0.031342729	0.44386514
aero_digestive_tract	Bleomycin_not_given	-0.009799584	0.812872489
aero_digestive_tract	BMS_509744_IL2_inducible_T_cell_kinase_ITK	-0.042527084	0.463794285
aero_digestive_tract	BMS_536924_IGF_1R	-0.11346295	0.049987158
aero_digestive_tract	BMS_708163_gamma_secretase_complex	-0.11196816	0.006344254
aero_digestive_tract	BMS_754807_IGF1R	-0.057802232	0.162285883
aero_digestive_tract	Bortezomib_Proteasome	-0.130081792	0.024969821
aero_digestive_tract	Bosutinib_SRC_ABL_TEC	-0.160021104	8.37E-05
aero_digestive_tract	Bryostatin_1_PRKC	0.004784953	0.907981622
aero_digestive_tract	BX_795_TBK1_PDK1_IKK_AURKB_C	0.033948105	0.407685166
aero_digestive_tract	Camptothecin_DNA_topoisomerase_I	-0.024536076	0.548943851
aero_digestive_tract	CCT007093_PPM1D	0.008156123	0.842889525
aero_digestive_tract	CCT018159_HSP90	-0.169088958	4.01E-05
aero_digestive_tract	CEP_701_FLT3_JAK2_NTRK1_RET	0.070018485	0.086862016
aero_digestive_tract	CGP_082996_CDK4	-0.122179111	0.035015542
aero_digestive_tract	CGP_60474_CDK_1_2_5_7_9	-0.068704117	0.237035093
aero_digestive_tract	CHIR_99021_GSK3B	0.047933598	0.244229853
aero_digestive_tract	CI_1040_MEK_1_2	-0.05810629	0.156898382
aero_digestive_tract	Cisplatin_DNA_crosslinking	-0.022981754	0.57454829
aero_digestive_tract	CMK_Rsk	-0.004672572	0.93598073
aero_digestive_tract	Cyclopamine_SMO	0.072079979	0.217067147
aero_digestive_tract	Cytarabine_Inhibits_DNA_synthesis	-0.036008449	0.37900429
