Cell Line	Cosmic_ID	Cancer Type	Tissue	MS-HL
MC-CAR	683665	blood	haematopoietic_neoplasm_other	0
PFSK-1	683667	nervous_system	medulloblastoma	0
A673	684052	soft_tissue	rhabdomyosarcoma	0
ES3	684055	bone	ewings_sarcoma	0
ES5	684057	bone	ewings_sarcoma	0
ES7	684059	bone	ewings_sarcoma	0
EW-11	684062	bone	ewings_sarcoma	0
NCI-H1395	684681	lung	lung_NSCLC_adenocarcinoma	0
COLO-829	687448	skin	melanoma	0
5637	687452	urogenital_system	Bladder	0
RT4	687455	urogenital_system	Bladder	0
SW780	687457	urogenital_system	Bladder	0
TCCSUP	687459	urogenital_system	Bladder	0
C-33-A	687505	urogenital_system	cervix	1
ME-180	687514	urogenital_system	cervix	0
8-MG-BA	687562	nervous_system	glioma	0
A172	687563	nervous_system	glioma	0
GB-1	687568	nervous_system	glioma	0
T98G	687586	nervous_system	glioma	0
U-118-MG	687588	nervous_system	glioma	0
U-87-MG	687590	nervous_system	glioma	0
YKG-1	687592	nervous_system	glioma	0
ChaGo-K-1	687596	lung	lung_NSCLC_not_specified	0
NCI-H720	687600	lung	lung_NSCLC_carcinoid	0
Calu-3	687777	lung	lung_NSCLC_adenocarcinoma	0
COR-L23	687780	lung	lung_NSCLC_large_cell	0
LK-2	687787	lung	lung_NSCLC_squamous_cell_carcinoma	0
NCI-H1437	687794	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1623	687798	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1648	687799	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1650	687800	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1693	687802	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1770	687804	lung	lung_NSCLC_not_specified	0
NCI-H1838	687807	lung	lung_NSCLC_adenocarcinoma	0
NCI-H2126	687814	lung	lung_NSCLC_adenocarcinoma	0
NCI-H2170	687815	lung	lung_NSCLC_squamous_cell_carcinoma	0
NCI-H2228	687816	lung	lung_NSCLC_adenocarcinoma	0
NCI-H2342	687819	lung	lung_NSCLC_adenocarcinoma	1
NCI-H2347	687820	lung	lung_NSCLC_adenocarcinoma	0
NCI-H2405	687821	lung	lung_NSCLC_adenocarcinoma	0
NCI-H661	687829	lung	lung_NSCLC_large_cell	0
DMS-114	687983	lung	lung_small_cell_carcinoma	0
DMS-153	687984	lung	lung_small_cell_carcinoma	0
DMS-273	687985	lung	lung_small_cell_carcinoma	0
NCI-H1048	687995	lung	lung_small_cell_carcinoma	1
NCI-H1092	687997	lung	lung_small_cell_carcinoma	0
NCI-H1417	688001	lung	lung_small_cell_carcinoma	0
NCI-H1694	688006	lung	lung_small_cell_carcinoma	0
NCI-H187	688007	lung	lung_small_cell_carcinoma	0
NCI-H1963	688010	lung	lung_small_cell_carcinoma	1
NCI-H2029	688011	lung	lung_small_cell_carcinoma	0
NCI-H209	688013	lung	lung_small_cell_carcinoma	0
NCI-H2141	688014	lung	lung_small_cell_carcinoma	0
NCI-H2171	688015	lung	lung_small_cell_carcinoma	0
NCI-H2227	688018	lung	lung_small_cell_carcinoma	0
NCI-H345	688021	lung	lung_small_cell_carcinoma	0
NCI-H378	688022	lung	lung_small_cell_carcinoma	0
NCI-H446	688023	lung	lung_small_cell_carcinoma	0
NCI-H526	688025	lung	lung_small_cell_carcinoma	0
NCI-H64	688026	lung	lung_small_cell_carcinoma	0
NCI-H69	688027	lung	lung_small_cell_carcinoma	0
NCI-H82	688031	lung	lung_small_cell_carcinoma	0
NCI-H2052	688058	lung	mesothelioma	0
SK-N-DZ	688086	nervous_system	neuroblastoma	0
SK-N-FI	688087	nervous_system	neuroblastoma	0
VA-ES-BJ	688121	soft_tissue	soft_tissue_other	0
LU-139	713878	lung	lung_small_cell_carcinoma	0
SBC-5	713880	lung	lung_small_cell_carcinoma	0
SBC-1	713885	lung	lung_small_cell_carcinoma	0
LU-135	713899	lung	lung_small_cell_carcinoma	0
NCI-H2030	722045	lung	lung_NSCLC_adenocarcinoma	0
NCI-H2122	722046	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1734	722058	lung	lung_NSCLC_adenocarcinoma	0
NCI-H650	722066	lung	lung_NSCLC_adenocarcinoma	0
T-24	724812	urogenital_system	Bladder	0
SK-N-AS	724828	nervous_system	neuroblastoma	0
NCI-H1299	724831	lung	lung_NSCLC_large_cell	0
NCI-H2087	724834	lung	lung_NSCLC_adenocarcinoma	0
UM-UC-3	724838	urogenital_system	Bladder	0
SW756	724839	urogenital_system	cervix	0
NCI-H727	724855	lung	lung_NSCLC_carcinoid	0
Calu-1	724858	lung	lung_NSCLC_adenocarcinoma	0
Calu-6	724859	lung	lung_NSCLC_adenocarcinoma	0
LU-65	724863	lung	lung_NSCLC_large_cell	0
NCI-H1355	724866	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1792	724868	lung	lung_NSCLC_adenocarcinoma	0
HPAF-II	724869	pancreas	pancreas	0
MIA-PaCa-2	724870	pancreas	pancreas	0
SHP-77	724872	lung	lung_small_cell_carcinoma	0
NCI-H2009	724873	lung	lung_NSCLC_adenocarcinoma	0
NCI-H2291	724874	lung	lung_NSCLC_adenocarcinoma	0
SW1573	724878	lung	lung_NSCLC_adenocarcinoma	0
SW900	724879	lung	lung_NSCLC_squamous_cell_carcinoma	0
TE-5	735784	aero_digestive_tract	oesophagus	0
HCC1954	749709	breast	breast	0
HCC1143	749710	breast	breast	0
HCC1187	749711	breast	breast	0
HCC1395	749712	breast	breast	0
HCC1599	749713	breast	breast	0
